TRAMO_ID,CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
MALAGA_MARIA_ZAMBRANO_0730_0800,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,07:30 - 08:00,73,103.0
MALAGA_MARIA_ZAMBRANO_0800_0830,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,08:00 - 08:30,83,158.0
MALAGA_MARIA_ZAMBRANO_0830_0900,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,08:30 - 09:00,87,110.0
MALAGA_MARIA_ZAMBRANO_0900_0930,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,09:00 - 09:30,58,213.0
MALAGA_MARIA_ZAMBRANO_0930_1000,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,09:30 - 10:00,131,152.0
MALAGA_MARIA_ZAMBRANO_1000_1030,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,10:00 - 10:30,57,156.0
MALAGA_MARIA_ZAMBRANO_1030_1100,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,10:30 - 11:00,85,93.0
MALAGA_MARIA_ZAMBRANO_1100_1130,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,11:00 - 11:30,59,151.0
MALAGA_MARIA_ZAMBRANO_1130_1200,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,11:30 - 12:00,138,77.0
MALAGA_MARIA_ZAMBRANO_1200_1230,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,12:00 - 12:30,35,132.0
MALAGA_MARIA_ZAMBRANO_1230_1300,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,12:30 - 13:00,180,83.0
MALAGA_MARIA_ZAMBRANO_1300_1330,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,13:00 - 13:30,76,87.0
MALAGA_MARIA_ZAMBRANO_1330_1400,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,13:30 - 14:00,153,72.0
MALAGA_MARIA_ZAMBRANO_1400_1430,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,14:00 - 14:30,94,147.0
MALAGA_MARIA_ZAMBRANO_1430_1500,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,14:30 - 15:00,201,113.0
MALAGA_MARIA_ZAMBRANO_1500_1530,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,15:00 - 15:30,70,157.0
MALAGA_MARIA_ZAMBRANO_1530_1600,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,15:30 - 16:00,146,94.0
MALAGA_MARIA_ZAMBRANO_1600_1630,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,16:00 - 16:30,93,140.0
MALAGA_MARIA_ZAMBRANO_1630_1700,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,16:30 - 17:00,115,86.0
