codigo_dea,tipo_establecimiento,tipo_titularidad,direccion_completa,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_codigo_postal,municipio_nombre,direccion_coordenada_x,direccion_coordenada_y
2023-974,Centro de trabajo con más de 250 trabajadores,Privada,"Ctra de la Coruña 16 28231 Rozas de Madrid, Las",Ctra,de la Coruña,16,28231,"Rozas de Madrid, Las",423937,4489656.0
2023-970,Centro de trabajo con más de 250 trabajadores,Privada,"Ctra de la Coruña 16 28231 Rozas de Madrid, Las",Ctra,de la Coruña,16,28231,"Rozas de Madrid, Las",423937,4489656.0
2024-562,Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Ctra de la Coruña 22 28230 Rozas de Madrid, Las",Ctra,de la Coruña,22,28230,"Rozas de Madrid, Las",425113,4486300.0
2023-711,Otros,Privada,Calle del Valle del Silencio 30 28039 Madrid,Calle,del Valle del Silencio,30,28039,Madrid,439419,4480072.0
2018-2232,Centro educativo,Privada,Calle de Valverde 15 28004 Madrid,Calle,de Valverde,15,28004,Madrid,444669,4474744.0
2024-817,Otros,Privada,Calle de Valverde 13 28004 Madrid,Calle,de Valverde,13,28004,Madrid,440438,4474760.0
2024-1022,Otros,Privada,Calle de Vaquerías 7 28007 Madrid,Calle,de Vaquerías,7,28007,Madrid,443351,4474428.0
2018-2781,Centro educativo,Privada,Calle de los Vascos 17 28040 Madrid,Calle,de los Vascos,17,28040,Madrid,439697,4477746.0
2021-52,"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,Calle de los Vascos 26 28040 Madrid,Calle,de los Vascos,26,28040,Madrid,439687,4477856.0
2023-928,Establecimiento hotelero con más de 100 plazas,Privada,Calle de los Vascos 20 28040 Madrid,Calle,de los Vascos,20,28040,Madrid,439706,4477791.0
2018-2697,Centro de trabajo con más de 250 trabajadores,Privada,Calle Emisora 20 28224 Pozuelo de Alarcón,Calle,Emisora,20,28224,Pozuelo de Alarcón,431969,4476745.0
2018-2711,Centro de trabajo con más de 250 trabajadores,Privada,Calle Emisora 20 28224 Pozuelo de Alarcón,Calle,Emisora,20,28224,Pozuelo de Alarcón,431969,4476745.0
2018-2324,Centro educativo,Privada,"Avda Esparta 6 28232 Rozas de Madrid, Las",Avda,Esparta,6,28232,"Rozas de Madrid, Las",422569,4485071.0
