tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;direccion_via_codigo;direccion_via_nombre;direccion_portal_numero;direccion_piso;direccion_puerta;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;direccion_longitud;direccion_latitud;horario_acceso;codigo_dea
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Prim;10;;;28004;TALLERES CUARTEL GENERAL DEL EJERCITO DE TIERRA;441197;4474787;-3,6931642488483;40,4216356054584;;2021-254
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Prim;10;;;28004;BRETON DE LOS HERREROS CUARTEL GENERAL DEL EJÉRCITO DE TIERRA;441197;4474787;-3,6931642488483;40,4216356054584;;2021-234
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Prim;10;;;28004;PALACIO PLANTA 3 EME ACUARTELAMIENTO PALACIO BUENA VISTA;441197;4474787;-3,6931642488483;40,4216356054584;;2021-256
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Prim;10;;;28004;PALACIO PLANTA 2 EME. ACUARTELAMIENTO PALACIO BUENA VISTA;441197;4474787;-3,6931642488483;40,4216356054584;;2021-257
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Prim;10;;;28004;PALACIO PLANTA 1 CUARTEL GENERAL DEL EJERCITO DE TIERRA;441197;4474787;-3,6931642488483;40,4216356054584;;2021-258
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Prim;10;;;28004;PATIO SALON DE ACTOS CUARTEL GENERAL DEL EJERCITO DE TIERRA;441197;4474787;-3,6931642488483;40,4216356054584;;2021-259
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Prim;10;;;28004;CESET CUARTEL GENERAL DEL EJÉRCITO DE TIERRA;441197;4474787;-3,6931642488483;40,4216356054584;;2021-235
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Prim;10;;;28004;PALACIO HALL PRINCIPAL ACUARTELAMIENTO PALACIO BUENA VISTA. EME;441197;4474787;-3,6931642488483;40,4216356054584;;2021-236
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Prim;10;;;28004;GIMNASIO CUARTEL GENERAL DEL EJÉRCITO DE TIERRA;441197;4474787;-3,6931642488483;40,4216356054584;;2021-237
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Prim;10;;;28004;BARQUILLO ;441197;4474787;-3,6931642488483;40,4216356054584;;2021-301
