ID,DISTRITO,COD-BARRIO,COD-DISTRITO,BARRIO,VIA,NUMERO,L-B,PLAZAS
C-254,ARGANZUELA,02-04,02,LEGAZPI,CALLE  DE LA ANTRACITA,2 C,Batería,4
C-255,ARGANZUELA,02-04,02,LEGAZPI,CALLE  DE LA ANTRACITA,3 I,Batería,1
C-256,ARGANZUELA,02-02,02,ACACIAS,CALLE  DE ARGANDA,4,Batería,3
C-257,ARGANZUELA,02-02,02,ACACIAS,CALLE  DE ARGANDA,6,Batería,1
C-258,ARGANZUELA,02-02,02,ACACIAS,CALLE  DE ARGANDA,16,Batería,1
C-259,ARGANZUELA,02-02,02,ACACIAS,CALLE  DE ARGANDA,16,Batería,1
C-260,ARGANZUELA,02-02,02,ACACIAS,CALLE  DE ARGANDA,40,Línea,1
C-261,ARGANZUELA,02-04,02,LEGAZPI,CALLE  DE ARIEL,2,Línea,1
C-262,ARGANZUELA,02-02,02,ACACIAS,CALLE  DE LA ARQUITECTURA,7,Línea,1
C-263,ARGANZUELA,02-02,02,ACACIAS,CALLE  DE LA ARQUITECTURA,10,Batería,1
C-264,ARGANZUELA,02-02,02,ACACIAS,CALLE  DE LA ARQUITECTURA,15,Línea,1
C-265,ARGANZUELA,02-02,02,ACACIAS,CALLE  DE LA ARQUITECTURA,16,Batería,1
C-266,ARGANZUELA,02-02,02,ACACIAS,CALLE  DE LA ARQUITECTURA,26,Batería,1
C-267,ARGANZUELA,02-02,02,ACACIAS,CALLE  DE LA ARQUITECTURA,30,Batería,1
C-268,ARGANZUELA,02-06,02,PALOS DE MOGUER,RONDA  DE ATOCHA,5,Línea,2
C-269,ARGANZUELA,02-06,02,PALOS DE MOGUER,RONDA  DE ATOCHA,33,Línea,1
C-270,ARGANZUELA,02-02,02,ACACIAS,CALLE  DE BAÑOS DE MONTEMAYOR,5 B,Línea,1
C-271,ARGANZUELA,02-06,02,PALOS DE MOGUER,CALLE  DE LA BATALLA DEL SALADO,7,Línea,1
C-272,ARGANZUELA,02-06,02,PALOS DE MOGUER,CALLE  DE LA BATALLA DEL SALADO,19,Línea,1
